aa,ac,ag,at,cc,gc,ct,gt,tt,gg,ref_id,split_id
17.45286183,34.7565651,26.04255859,26.43648861,15.12339008,23.71416172,24.03030602,19.91651554,12.02864798,11.88864012,SARS-CoV-2_1_LEFT,SARS-CoV-2_39_RIGHT
16.03801807,33.62435331,23.00517702,30.82037818,15.45659953,22.49385194,29.81118092,21.37218443,14.26399032,11.1293789,SARS-CoV-2_1_LEFT,SARS-CoV-2_40_LEFT
13.66813233,29.14792607,21.31452175,26.93669387,16.18098094,23.83024977,31.54086048,22.42107949,14.71421524,11.48239019,SARS-CoV-2_1_LEFT,SARS-CoV-2_40_RIGHT
15.58983165,30.79159333,25.00174195,29.24289515,14.60806392,23.86866078,27.62234073,23.00745287,13.90324698,12.05298112,SARS-CoV-2_1_LEFT,SARS-CoV-2_41_LEFT
17.65071781,30.52929335,27.89192216,29.20535389,13.37883647,22.77454191,23.57973565,22.09990226,12.89872433,12.4273206,SARS-CoV-2_1_LEFT,SARS-CoV-2_41_RIGHT
15.93870135,31.8843076,23.63089357,30.33997959,14.85750582,22.58685436,28.49545568,21.89051298,14.18191847,11.4057547,SARS-CoV-2_1_LEFT,SARS-CoV-2_42_LEFT
15.84573142,30.78144188,25.41392137,28.45575492,14.43803995,23.77435987,26.34313344,22.47723632,13.41435191,12.12846833,SARS-CoV-2_1_LEFT,SARS-CoV-2_42_RIGHT
15.21653965,28.15137375,24.83249392,29.23190904,13.80628371,23.10013575,26.73969532,23.77132056,14.33636973,12.25114823,SARS-CoV-2_1_LEFT,SARS-CoV-2_43_LEFT
16.412954,34.93484457,24.54773608,26.86357163,15.91388634,24.06873193,26.27398699,20.33264577,12.5524629,11.65126031,SARS-CoV-2_1_LEFT,SARS-CoV-2_43_RIGHT
16.14343761,30.51025357,25.27217229,27.98875746,14.24992174,23.15907202,25.3437018,21.79923324,13.15771806,12.03181833,SARS-CoV-2_1_LEFT,SARS-CoV-2_44_LEFT
14.95354284,31.7170033,24.39935069,28.70148246,15.51876698,25.05374414,29.67239006,23.28085618,14.03305779,12.0350718,SARS-CoV-2_1_LEFT,SARS-CoV-2_44_RIGHT
14.85687977,27.66362653,27.40803681,29.88172265,13.53874993,25.26772041,27.28008203,27.03283253,14.61968852,13.41650147,SARS-CoV-2_1_LEFT,SARS-CoV-2_45_LEFT
16.22420772,34.43463586,21.79709685,29.07028603,16.01360096,21.63983834,28.76329327,19.68460048,13.66124649,10.78847841,SARS-CoV-2_1_LEFT,SARS-CoV-2_45_RIGHT
17.02657092,33.37375254,28.22442452,29.09808328,14.44560772,24.93896119,25.58600286,22.69948007,12.88746616,12.57119857,SARS-CoV-2_1_LEFT,SARS-CoV-2_46_LEFT
17.02018609,40.27594605,22.81754812,28.19829927,17.19376724,22.94400529,28.40637072,19.08595055,12.74285693,10.86561292,SARS-CoV-2_1_LEFT,SARS-CoV-2_46_RIGHT
